title,authors,image,description
01 Nathaniel Mcdaniel and Bigbeards Hook,Evan Solomon,https://images.49thshelf.com/var/ezflow_site/storage/images/books/9/01-nathaniel-mcdaniel-and-bigbeards-hook/9780143312154_cover/186962395-1-eng-CA/9780143312154_cover_coverbookpage_embed.jpg,"Meet Nathaniel McDaniel, the mischievous hero of a delightful new series of adventures. In Bigbeard's Hook, Nate discovers Gramps' attic and a treasure trove ..."
02 Standard of Honor Book Two of the Templar Trilogy,Jack Whyte,https://images.49thshelf.com/var/ezflow_site/storage/images/books/9/02-standard-of-honor-book-two-of-the-templar-trilogy/9780143017387_cover/411046187-1-eng-CA/9780143017387_cover_coverbookpage_embed.jpg,"Jack Whyte’s thrilling Templar Trilogy continues with Standard of Honor, in which oaths of loyalty and obedience are weighed against the virtues of honour ..."
03 Knights Templar Order in Chaos,Jack Whyte,https://images.49thshelf.com/var/ezflow_site/storage/images/books/9/03-knights-templar-order-in-chaos/9780670045150_cover/285402776-1-eng-CA/9780670045150_cover_coverbookpage_embed.jpg,"In the final novel in the Templar Trilogy, William St. Clair faces the end of the Order of the Temple of Solomon. Philip IV has arrested every Templar in ..."
100 Easy-to-Grow Native Plants for Canadian Gardens,Lorraine Johnson,https://images.49thshelf.com/var/ezflow_site/storage/images/books/9/100-easy-to-grow-native-plants-for-canadian-gardens/9781771621441_cover/415496324-1-eng-CA/9781771621441_cover_coverbookpage_embed.jpg,The key to a carefree garden is to know which plants will thrive under local conditions and which ones are better left at the nursery. With watering ...
10 Women,George Bowering,https://images.49thshelf.com/var/ezflow_site/storage/images/books/9/10-women/9781772140316_cover/421561334-1-eng-CA/9781772140316_cover_coverbookpage_embed.jpg,Ten Women is a new collection of short fiction from one of Canada's preeminent writers. Each of these stories offers us a portrait of a woman with whom the ...
12 Rose Street,Gail Bowen,https://images.49thshelf.com/var/ezflow_site/storage/images/books/9/12-rose-street/9780771024016_cover/420201256-1-eng-CA/9780771024016_cover_coverbookpage_embed.jpg,The indomitable Joanne Kilbourn is back! From beloved author Gail Bowen comes the 15th installment in the nationally bestselling series. For readers of Louise ...
12 Rose Street,Gail Bowen,https://images.49thshelf.com/var/ezflow_site/storage/images/books/9/12-rose-street2/9780771024009_cover/212367282-1-eng-CA/9780771024009_cover_coverbookpage_embed.jpg,The indomitable Joanne Kilbourn is back! From beloved author Gail Bowen comes the 15th installment in the nationally bestselling series. For readers of Louise ...
12 Shades of Surrender,Anne Calhoun,https://images.49thshelf.com/var/ezflow_site/storage/images/books/9/12-shades-of-surrender/9780778314943_cover/419926070-1-eng-CA/9780778314943_cover_coverbookpage_embed.jpg,"Are you ready to step deeper into the shade?If Fifty Shades of Grey has left you aching to expand your BDSM repertoire, the experts on erotic romance have ..."
13 Lives,Michael Pawlowski,https://images.49thshelf.com/var/ezflow_site/storage/images/books/9/13-lives/9781988098456_cover/278324835-1-eng-CA/9781988098456_cover_coverbookpage_embed.jpg,"With stories that chronicle the abused, the homeless, the suicidal, those seeking a world away from the reserve, and those returning to the indigenous ..."
13 Ways of Looking at a Fat Girl,Mona Awad,https://images.49thshelf.com/var/ezflow_site/storage/images/books/9/13-ways-of-looking-at-a-fat-girl/9780143194798_cover/419680171-1-eng-CA/9780143194798_cover_coverbookpage_embed.jpg,Winner of the Amazon.ca First Novel AwardShortlisted for the Scotiabank Giller PrizeLonglisted for the 2017&nbsp;Stephen Leacock Memorial Medal for Humour ...
150 Years of Stats Canada!,Stats Canada,https://images.49thshelf.com/var/ezflow_site/storage/images/books/9/150-years-of-stats-canada/9780735232808_cover/382047201-1-eng-CA/9780735232808_cover_coverbookpage_embed.jpg,"Canada's funniest online sensation is back to celebrate the country's 150th anniversary--bigger, bolder, and only 10% reused material!Want to know what the ..."
