title,authors,Image,description
A Good and Wise Measure,,https://livrescanadabooks.com/images/feed/9780802048295.jpg,"The Search for the Canadian-American Boundary, 1783-1842

Author/Illustrator/Editor: Francis M. Carroll (CA)

In this detailed and fascinating book, Francis Carroll tells the story of the attempts to settle the original boundary between Canada and the United States from the Atlantic coast to the middle of the continent. Established by the Treaty of Paris in 1783, it soon became clear that ambiguities and errors in the treaty brought confusion and rivalry in the boundary borderland from New Brunswick and Maine to the St. Lawrence River, through the Great Lakes and from Lake Superior to Lake of the Woods, in the heart of the continent. This borderland, steadily filling with people of competing interests - Loyalists and Yankees, fur traders and soldiers, Europeans and First Nations peoples - became the focus of the major crisis in Anglo-Canadian-American relations for almost sixty years. Drawing on extensive research and utilizing manuscript materials never brought to bear on the subject before, The Search for Boundary is the first work to thoroughly explain the efforts of the several Boundary Commissions and the failed arbitration of the King of Netherlands - all major international attempts to settle the boundary. The book also provides a fresh interpretation of the relevance the turbulent decade of the 1830s had in contributing to the sense of urgency that finally allowed for negotiation of a reasonable compromise settlement of the boundary in the Webster-Ashburton Treaty of 1842 -- ""A good and wise measure,"" as Lord Ashburton called it. Filled with the politics and intrigues of the time, Carroll brings to life a remarkable time in the diplomatic and political history of both Canada and the United States.Winner of the Dafoe Book Prize, awarded by the J.W. Dafoe Foundation

Publisher
University of Toronto Press
Date	ISBN	BISAC Code	Thema	Rights available
06/16/2001	9780802048295	HISTORY / Canada / General		
Language	Format	Size	Price	Pages
English	Hardback	6.24 in x 9.27 in	C$94.00	480"
A Mile of Make-Believe,,https://livrescanadabooks.com/images/feed/9781442629240.jpg,"A History of the Eaton's Santa Claus Parade

Author/Illustrator/Editor: Steve Penfold

“A Mile of Make-Believe offers not only a highly readable and rewarding account of Santa Claus parades but a great many lessons that will help reshape the way in which scholars explore the history of consumerism.” – Michael Dawson, St. Thomas University

A Mile of Make-Believe examines the unique history of the Santa Claus parade in Canada. This volume focuses on the Eaton’s-sponsored parades that occurred in Toronto, Montreal, Winnipeg, Calgary, and Edmonton. Steve Penfold’s considerable analytical skills have produced a work that is simultaneously a cultural history, history of business, and commentary on consumerism. Professional historians and the general public alike would be remiss if this wasn’t on their holiday wish list.

Publisher
University of Toronto Press
Date	ISBN	BISAC Code	Thema	Rights available
2016	9781442629240			
Language	Format	Size	Price	Pages
English	Paperback / softback	6 x 9	C$27.95	256"
A Name for Herself,,https://livrescanadabooks.com/images/feed/9781487523084.jpg,"Selected Writings, 1891-1917

Author/Illustrator/Editor: L.M. Montgomery

Years before she published her internationally celebrated first novel, Anne of Green Gables, L.M. Montgomery (1874–1942) started contributing short works to periodicals across North America. While these works consisted primarily of poems and short stories, she also experimented with a wider range of forms, particularly during the early years of her career, at which point she tested out several authorial identities before settling on the professional moniker “L.M. Montgomery.”

A Name for Herself: Selected Writings, 1891–1917 is the first in a series of volumes collecting Montgomery’s extensive contributions to periodicals. Leading Montgomery scholar Benjamin Lefebvre discusses these so-called miscellaneous pieces in relation to the works of English-speaking women writers who preceded her and the strategies they used to succeed, including the decision to publish under gender-neutral signatures. Among the highlights of the volume are Montgomery’s contributions to student periodicals, a weekly newspaper column entitled “Around the Table,” a long-lost story narrated first by a woman trapped in an unhappy marriage and then by the man she wishes she had married instead, and a new edition of her 1917 celebrity memoir, “The Alpine Path.” Drawing fascinating links to Montgomery’s life writing, career, and fiction, this volume will offer scholars and readers alike an intriguing new look at the work of Canada’s most enduringly popular author.

Publisher
University of Toronto Press
Date	ISBN	BISAC Code	Thema	Rights available
2018	9781487523084			WORLD
Language	Format	Size	Price	Pages
English	Paperback / softback	5.50 x 8.50	C$37.95	454"
A Polity on the Edge,,https://livrescanadabooks.com/images/feed/9781551112404.jpg,"Canada and the Politics of Fragmentation

Author/Illustrator/Editor: Harold D. Clarke (CA), Allan Kornberg (CA), Peter Wearing (CA)

Winner: 2001 Choice Outstanding Academic Book Award

This is a book about forces challenging the continued integrity of Canada, one of the world’s oldest and most admired democracies. It focuses on six critical events, beginning with the 1988 federal election and the fierce debate over the risks of free trade with the United States for Canada’s economy and cherished social programs. It ends with the 1998 re-election of the Parti Québécois and the possibility of a third sovereignty referendum. Collectively, these events have pushed Canada to the edge of disintegration. The book’s analyses and interpretations of these events are based on a unique collection of survey data gathered over the past two decades. Conversations with thousands of Canadians map the dynamics of public beliefs, attitudes and behavior in an era of economic dislocation and political crisis. Struggling to adapt its political institutions and processes to regional and ethno-linguistic cleavages invigorated by forces of economic restructuring and globalization, Canada exemplifies many of the ""forces from above and below"" that have beset democracies, new and old alike, in recent years. By explaining how these forces have brought a ""charter member"" of that very special political club to the brink of fragmentation, this book will be of interest to all those concerned with the future of democracy in polycommunal societies.

Publisher
University of Toronto Press
Date	ISBN	BISAC Code	Thema	Rights available
09/01/2000	9781551112404			
Language	Format	Size	Price	Pages
English	Paperback / softback	6 in x 9 in	C$42.95	336"
A World of Songs,,https://livrescanadabooks.com/images/feed/9781487523695.jpg,"Selected Poems, 1894-1921

Author/Illustrator/Editor: L.M. Montgomery

Celebrated as a novelist and made famous by her novel Anne of Green Gables and its sequels, L.M. Montgomery (1874–1942) is far less known for also writing and publishing hundreds of poems over a period of half a century.Although this output included a chapbook and a full-length collection in which she presented herself primarily as a nature poet, most of her poems appeared in periodicals, including women’s magazines, farm papers, faith-based periodicals, daily and weekly newspapers, and magazines for children. As a shrewd businesswoman, she learned to find the balance between literary quality and commercial saleability and continued to publish poetry even though it paid less than short fiction.

A World of Songs: Selected Poems, 1894–1921, the second volume in The L.M. Montgomery Library, gathers a selection of fifty poems originally published across a twenty-five-year period. Benjamin Lefebvre organizes this work within the context of Montgomery’s life and career, claiming her not only as a nature poet but also as the author of a wider range of “songs”: of place, of memory, of lamentation, of war, of land and sea, of death, and of love. Many of these poems echo motifs that readers of Montgomery’s novels will recognize, and many more explore surprising perspectives through the use of male speakers. These poems offer today’s readers a new facet of the career of Canada’s most enduringly popular author.

Publisher
University of Toronto Press
Date	ISBN	BISAC Code	Thema	Rights available
2019	9781487523695			WORLD
Language	Format	Size	Price	Pages
English	Paperback / softback	5.50 x 8.50	C$24.95	160"
Aboriginal Peoples of Canada,,https://livrescanadabooks.com/images/feed/9780802036308.jpg,"A Short Introduction

Author/Illustrator/Editor: Magocsi, Paul Robert

Canada’s Aboriginal Peoples: A Short Introduction fills a previously overlooked gap by providing the first comprehensive overview of Canada’s First Nations people. Drawn from the highly successful Encyclopedia of Canada’s Peoples it offers extensive coverage of Canada’s aboriginal peoples, including the Algonquians/Eastern Woodlands, Algonquians/Plains, Algonquians/Subarctic, Inuit, Iroquoians, Ktunaxa, Metis, Na-Dene, Salish, Siouan, Tsimshian, and Wakashans, as well as the many nations within these larger groupings.With a new preface by Paul Robert Magosci and an introduction by well-known historian Jim Miller, the collection has papers on each main group written by such scholars as Janet Chute, Olive Dickason, Louis-Jacques Dorais, and Eldon Yellowhorn. Each essay covers economics, culture, language, education, politics, kinship, religion, social organization, identification, and history of each nation, among other topics, and ends with suggestions for further readings. Readable and suitable for the student, casual reader or expert, the book is an excellent introduction to Canada’s aboriginal peoples.

Publisher
University of Toronto Press
Date	ISBN	BISAC Code	Thema	Rights available
20021019	9780802036308	SOC021000		
Language	Format	Size	Price	Pages
English	Hardback	6.21 x 9.27	C$75	304"
Academic Freedom in Canada,,https://livrescanadabooks.com/images/feed/9780802007261.jpg,"A History

Author/Illustrator/Editor: Horn, Michiel

Although currently under attack from several directions, academic freedom is as important as it has ever been in enabling academics to teach, to carry out research, and to offer disinterested criticism and advice.Michiel Horn’s new book accentuates the changing nature of academic freedom in English Canada and provides essential background to today’s discussions. Based on extensive archival research in more than twenty universities across Canada and in six public archives, the book locates the idea of academic freedom in its institutional and social contexts and traces its conflict-ridden evolution from 1860 to the present. Providing detailed coverage and analysis, Academic Freedom in Canada exposes previously unpublished information on why selected academics were dismissed or forced to resign, and on how pressure was used, often successfully, to silence others. As well as focusing on individuals such as Frank Underhill (University of Toronto), George Hunter (University of Alberta), and Harry Crowe (United College, Winnipeg), the book covers issues including the resistance in universities to Darwinist thought; the influences of modern Biblical criticism, capitalism, and war on academic freedom; the experience of women and ethnic minorities; and the question of whether or not academics should be allowed to run for public office. One chapter addresses the contentious issue of tenure.Michiel Horn also identifies and analyses the challenges that have faced academic freedom in more recent years, most notably those of the economy and of ‘political correctness’. He shows how the seeds of today’s changing demands on universities can be found in the vicissitudes of the past, and contends that Canadian academics owe it to their fellow citizens to use their freedom for the common good.

Publisher
University of Toronto Press
Date	ISBN	BISAC Code	Thema	Rights available
19990522	9780802007261	EDU015000		
Language	Format	Size	Price	Pages
English	Hardback	6.44 x 9.26	C$52	434"
Am I Teaching Well?,,https://livrescanadabooks.com/images/feed/9780887510878.jpg,"Self-Evaluation Strategies for Effective Teachers

Author/Illustrator/Editor: Hanna Cabaj, Vesna Nikolic

Am I doing the right thing in my classroom? Are my students learning all they could? Is there anything I could do to gain even more satisfaction from my job? Am I teaching well? If you ask yourself questions like these but aren’t quite sure how to go about finding the answers, this book is for you!

Am I Teaching Well? Self-Evaluation Strategies for Effective Teachers is a resource for classroom practitioners, pre-service teachers and teacher trainers. Each chapter presents a series of self-assessment tasks that will help you reflect and improve on a wide range of aspects of your teaching practice. Topics include organizing for instruction, designing programs and lessons, using resources and integrating technology, classroom presentation, responding to student questions and encouraging participation, providing feedback, increasing motivation, assessment, program evaluation, and professional development. Numerous self-evaluation exercises are fully photocopiable without infringement of copyright, and the book is illustrated throughout with humorous drawings.

The book concludes with an appendix that takes you step by step through procedures for self-evaluation using video or audio recording, a particularly effective strategy that will really let you see yourself as others do.

Written by two experienced teachers in a direct, down to earth, light-hearted style, Am I teaching well? offers not only opportunities for self-assessment but also detailed information on positive teaching practice. The authors’ background in language teaching is highlighted in special sections that will be of particular interest to those teaching foreign or second languages to learners of all ages.

With its comprehensive scope and easy-to-follow, hands-on approach, Am I teaching well? is sure to become a career-long partner for all teachers interested in working toward excellence in their classroom performance.

Audience: Newly qualified to experienced teachers as well as teacher trainers interested in improving their classroom practices.

Publisher
University of Toronto Press
Date	ISBN	BISAC Code	Thema	Rights available
01/01/2000	9780887510878	FOREIGN LANGUAGE STUDY / English as a Second Language		
Language	Format	Size	Price	Pages
English	Paperback / softback	8.28 in x 10.77 in	C$35.00	264"
An Exceptional Law,,https://livrescanadabooks.com/images/feed/9781442629585.jpg,"Section 98 and the Emergency State, 1919-1936

Author/Illustrator/Editor: Dennis G. Molinaro

An Exceptional Law showcases how the emergency law used to repress labour activism during the First World War became normalized with the creation of Section 98 of the Criminal Code, following the Winnipeg General Strike.

Publisher
University of Toronto Press
Date	ISBN	BISAC Code	Thema	Rights available
2017	9781442629585			
Language	Format	Size	Price	Pages
English	Paperback / softback	5.5 x 8.5	C$32.95	352"
An Independent Foreign Policy for Canada?,,https://livrescanadabooks.com/images/feed/9780802096340.jpg,"Challenges and Choices for the Future

Author/Illustrator/Editor: Brian Bow, Patrick Lennox

Forty years ago, as the United States became increasingly involved in Vietnam, questions were raised in Canada about the relationship between its foreign policy agenda and that of its southern neighbour. Now, with the recent wars in Iraq and Afghanistan, it is time to raise the same questions: does Canada need an independent foreign policy? Does Canada have the capacity and will to chart its own course?Divided into sections about the history of Canadian foreign policy, diplomacy, security, economics, decision-making and new policy issues, this collection of prominent political scientists provides valuable and timely perspectives on the state of Canada’s international relations in the twenty-first century. Examining pertinent issues such as defence, security, the Arctic, global environmental cooperation, NAFTA, and the post-9/11 world, these accessible and insightful essays are a long-overdue reassessment of Canada and its current role in international affairs. An Independent Foreign Policy for Canada? asks the question that is perhaps more important now than forty years ago and supplies answers so pertinent to the twenty-first century.

Contributors:
Brian Bow
Adam Chapnick
Stephen Clarkson
Patricia Goff
Stephanie R. Golob
Geoffrey Hale
Rob Huebert
Christopher Kukucha
Patrick Lennox
Christopher Sands
Heather A. Smith

Publisher
University of Toronto Press
Date	ISBN	BISAC Code	Thema	Rights available
12/27/2008	9780802096340	POLITICAL SCIENCE / International Relations / General		
Language	Format	Size	Price	Pages
English	Paperback / softback	6 in x 9 in	C$26.95	224"
