title_url,title,authors,image,description
https://49thshelf.com/Books/W/Wild-Dogs-of-Mexico,Wild Dogs of Mexico,T.E. Wilson,,
https://49thshelf.com/Books/S/Some-Days-Run-Long,Some Days Run Long,Bill Conall,https://images.49thshelf.com/var/ezflow_site/storage/images/books/s/some-days-run-long/9781926448275_cover/319798100-1-eng-CA/9781926448275_cover_coverbookpage_embed.jpg,
https://49thshelf.com/Books/U/Unleashed6,Unleashed,Sally Barnes,,
https://49thshelf.com/Books/M/Mezcalero,Mezcalero,T.E. Wilson,,
https://49thshelf.com/Books/A/A-Fragment-of-May,A Fragment of May,Susan Cameron,,
https://49thshelf.com/Books/F/Facing-the-Other-Way,Facing the Other Way,Gwen Davies,,
https://49thshelf.com/Books/C/Charting-the-Darkness,Charting the Darkness,A.C. Geisel,https://images.49thshelf.com/var/ezflow_site/storage/images/books/c/charting-the-darkness/9781772060362_cover/365976689-1-eng-CA/9781772060362_cover_coverbookpage_embed.jpg,
https://49thshelf.com/Books/T/Tales-of-the-Emperor,Tales of the Emperor,Jack Winter,https://images.49thshelf.com/var/ezflow_site/storage/images/books/t/tales-of-the-emperor/9780889229440_cover/360028070-1-eng-CA/9780889229440_cover_coverbookpage_embed.jpg,
https://49thshelf.com/Books/I/Immortal-Air,Immortal Air,Tracey Rombough,https://images.49thshelf.com/var/ezflow_site/storage/images/books/i/immortal-air/9781772060324_cover/375665926-1-eng-CA/9781772060324_cover_coverbookpage_embed.jpg,
https://49thshelf.com/Books/T/To-Lain-Roads,To Lain Roads,J.D.  Goossens,,
https://49thshelf.com/Books/M/Minor-Expectations,Minor Expectations,Garry Thomas Morse,https://images.49thshelf.com/var/ezflow_site/storage/images/books/m/minor-expectations/9780889228917_cover/360090549-1-eng-CA/9780889228917_cover_coverbookpage_embed.jpg,
https://49thshelf.com/Books/T/The-Runner-and-the-Kelpie,The Runner and the Kelpie,Dave Duncan,https://images.49thshelf.com/var/ezflow_site/storage/images/books/t/the-runner-and-the-kelpie/9781927400654_cover/115526522-1-eng-CA/9781927400654_cover_coverbookpage_embed.jpg,
https://49thshelf.com/Books/K/King-of-Shadows,King of Shadows,Ann Marston,https://images.49thshelf.com/var/ezflow_site/storage/images/books/k/king-of-shadows/9781927400616_cover/422531113-1-eng-CA/9781927400616_cover_coverbookpage_embed.jpg,
https://49thshelf.com/Books/T/The-HOME-Team,The HOME Team,Holly Preston,https://images.49thshelf.com/var/ezflow_site/storage/images/books/t/the-home-team/9780986924446_cover/205254561-1-eng-CA/9780986924446_cover_coverbookpage_embed.jpg,
https://49thshelf.com/Books/N/New-Year,New Year,Caighlan Smith,,
https://49thshelf.com/Books/A/A-Matter-of-Gravity,A Matter of Gravity,Hélène Vachon,https://images.49thshelf.com/var/ezflow_site/storage/images/books/a/a-matter-of-gravity/9780889228405_cover/415760952-1-eng-CA/9780889228405_cover_coverbookpage_embed.jpg,
https://49thshelf.com/Books/T/The-Runner-and-the-Saint,The Runner and the Saint,Dave Duncan,,
https://49thshelf.com/Books/C/Cloudbearer-s-Shadow2,Cloudbearer's Shadow,Ann Marston,https://images.49thshelf.com/var/ezflow_site/storage/images/books/c/cloudbearer-s-shadow2/9781927400579_cover/422488382-1-eng-CA/9781927400579_cover_coverbookpage_embed.jpg,
https://49thshelf.com/Books/A/A-Quiet-Place2,A Quiet Place,J.W. Schnarr,https://images.49thshelf.com/var/ezflow_site/storage/images/books/a/a-quiet-place2/9781927400418_cover/115533043-1-eng-CA/9781927400418_cover_coverbookpage_embed.jpg,
https://49thshelf.com/Books/R/Rogue-Cells-Carbon-Harbour-ebook,Rogue Cells / Carbon Harbour ebook,Garry Thomas Morse,https://images.49thshelf.com/var/ezflow_site/storage/images/books/r/rogue-cells-carbon-harbour-ebook/9780889227774_cover/412745338-1-eng-CA/9780889227774_cover_coverbookpage_embed.jpg,
https://49thshelf.com/Books/W/Wasps-at-the-Speed-of-Sound2,Wasps at the Speed of Sound,Derryl Murphy,https://images.49thshelf.com/var/ezflow_site/storage/images/books/w/wasps-at-the-speed-of-sound2/9781927400432_cover/115531740-1-eng-CA/9781927400432_cover_coverbookpage_embed.jpg,
https://49thshelf.com/Books/O/Out-of-Time5,Out of Time,David Laderoute,https://images.49thshelf.com/var/ezflow_site/storage/images/books/o/out-of-time5/9781927400371_cover/115526380-1-eng-CA/9781927400371_cover_coverbookpage_embed.jpg,
https://49thshelf.com/Books/T/Turn-Us-Again2,Turn Us Again,Charlotte R. Mendel,https://images.49thshelf.com/var/ezflow_site/storage/images/books/t/turn-us-again2/9781552665701_cover/403972525-1-eng-CA/9781552665701_cover_coverbookpage_embed.jpg,
https://49thshelf.com/Books/T/The-Tattooed-Witch2,The Tattooed Witch,Susan MacGregor,https://images.49thshelf.com/var/ezflow_site/storage/images/books/t/the-tattooed-witch2/9781927400333_cover/115531118-1-eng-CA/9781927400333_cover_coverbookpage_embed.jpg,
https://49thshelf.com/Books/I/Indigo-Time2,Indigo Time,Sally McBride,https://images.49thshelf.com/var/ezflow_site/storage/images/books/i/indigo-time2/9781927400319_cover/115531258-1-eng-CA/9781927400319_cover_coverbookpage_embed.jpg,
https://49thshelf.com/Books/T/Type,Type,Alicia Hendley,https://images.49thshelf.com/var/ezflow_site/storage/images/books/t/type/9781927400296_cover/115527870-1-eng-CA/9781927400296_cover_coverbookpage_embed.jpg,
