id,author,title,gender,isbn,release_date,origin,description
1,Hugh McLennan,Two Solitudes,M,9780773524927,1945,Canadian,"“[A] powerful saga, [Two Solitudes is the story of] of Athanase Tallard, the son of an aristocratic French-Canadian tradition, of Kathleen, his beautiful Irish wife, and of their son Paul, who struggles to establish a balance in himself and in the country he calls home.”"
3,Andre Alexis,Fifteen Dogs,M,9781552453056,2014,Canadian,"“A bet between the gods Hermes and Apollo leads them to grant human consciousness and language to a group of dogs overnighting at a Toronto vet­erinary clinic. Suddenly capable of more complex thought, the pack is torn between those who resist the new ways of thinking, preferring the old ‘dog’ ways, and those who embrace the change.”"
4,Marian Engel,Bear,F,9780771030130,1976,Canadian,“A librarian is called to a remote Canadian island to inventory the estate of a secretive Colonel whose most surprising secret is a bear who keeps the librarian company—shocking company.”
5,Thomas King,"Green Grass, Running Water",M,9781554685257,1993,Canadian,"“Alberta is a university professor who would like to trade her two boyfriends for a baby but no husband; Lionel is forty and still sells televisions for a patronizing boss; Eli and his log cabin stand in the way of a profitable dam project. These three—and others—are coming to the Blackfoot reservation for the Sun Dance and there they will encounter four Indian elders and their companion, the trickster Coyote—and nothing in the small town of Blossom will be the same again.”"
6,Alistair MacLeod,No Great Mischief,M,9780771055706,2006,Canadian,"“Alexander, orphaned as a child by a horrific tragedy, has nevertheless gained some success in the world. … Alexander is sustained by a family history that seems to run through his veins. And through these lovingly recounted stories-wildly comic or heartbreakingly tragic-we discover the hope against hope upon which every family must sometimes rely.”"
7,Douglas Coupland,Generation X,M,9780312054366,1991,Canadian,"“Andy, Dag and Claire have been handed a society priced beyond their means. Twentysomethings, brought up with divorce, Watergate and Three Mile Island, and scarred by the 80s fall-out of yuppies, recession, crack and Ronald Reagan, they represent the new generation – Generation X.”"
8,Ami McKay,The Birth House,F,9780676977738,1984,Canadian,"“As a child in an isolated village in Nova Scotia, [Dora Rare] is drawn to Miss Babineau, an outspoken Acadian midwife with a gift for healing and a kitchen filled with herbs and folk remedies. During the turbulent years of World War I, Dora becomes the midwife’s apprentice. Together, they help the women of Scots Bay through infertility, difficult labors, breech births, unwanted pregnancies and even unfulfilling sex lives.”"
9,Heather O'Neill,Lullabies for Little Criminals,F,9780062468475,2006,Canadian,"“At thirteen, Baby vacillates between childhood comforts and adult temptation: still young enough to drag her dolls around in a vinyl suitcase yet old enough to know more than she should about urban cruelties. Motherless, she lives with her father, Jules, who takes better care of his heroin habit than he does of his daughter. Baby’s gift is a genius for spinning stories and for cherishing the small crumbs of happiness that fall into her lap. But her blossoming beauty has captured the attention of a charismatic and dangerous local pimp who runs an army of sad, slavishly devoted girls—a volatile situation even the normally oblivious Jules cannot ignore.”"
10,Andrew Pyper,Lost Girls,M,9780006393108,1999,Canadian,"“Attorney Bartholomew Crane doesn’t belong in the small town of Murdoch. And the town of Murdoch doesn’t want him there. Even Crane’s client, a teacher accused of killing two girls, his own students, doesn’t seem to care if Crane gets him off or not. But Bartholomew Crane has come to Murdoch to try his first murder case—and he intends to win at all costs.”"
11,Tracey Lindberg,Birdie,F,9781443451352,2015,Canadian,"“Bernice Meetoos, a Cree woman, leaves her home in Northern Alberta following tragedy and travels to Gibsons, BC. She is on something of a vision quest, seeking to understand the messages from The Frugal Gourmet (one of the only television shows available on CBC North) that come to her in her dreams.”"
12,Carol Shields,The Stone Diaries,F,9780307357281,1993,Canadian,"“Born in 1905, Daisy Stone Goodwill drifts through the roles of child, wife, widow, and mother, and finally into her old age. Bewildered by her inability to understand her place in her own life, Daisy attempts to find a way to tell her story within a novel that is itself about the limitations of autobiography.”"
13,William Gibson,Neuromancer,M,9780441007462,1984,Canadian,"“Case had been the sharpest data-thief in the business, until vengeful former employers crippled his nervous system. But now a new and very mysterious employer recruits him for a last-chance run. The target: an unthinkably powerful artificial intelligence orbiting Earth in service of the sinister Tessier-Ashpool business clan.”"
14,Louise Penny,Still Life,F,9780751547382,2007,Canadian,"“Chief Inspector Armand Gamache of the Sûreté du Québec and his team of investigators are called in to the scene of a suspicious death in a rural village south of Montréal and yet a world away. Jane Neal, a long-time resident of Three Pines, has been found dead in the woods. The locals are certain it’s a tragic hunting accident and nothing more but Gamache smells something foul this holiday season…and is soon certain that Jane died at the hands of someone much more sinister than a careless bowhunter.”"
15,Lucy Maud Montgomery,Anne of Green Gables,F,9780451528827,1908,Canadian,"“Everyone’s favorite redhead, the spunky Anne Shirley, begins her adventures at Green Gables, a farm outside Avonlea, Prince Edward Island. When the freckled girl realizes that the elderly Cuthberts wanted to adopt a boy instead, she begins to try to win them and, consequently, the reader, over.”"
16,Patrick deWitt,The Sisters Brothers,M,9781487005375,2011,Canadian,"“Filled with a remarkable cast of characters – losers, cheaters, and ne’er-do-wells from all stripes of life – and told by a complex and compelling narrator, it is a violent, lustful odyssey through the underworld of the 1850s frontier that beautifully captures the humor, melancholy, and grit of the Old West and two brothers bound by blood, violence, and love.”"
17,Eden Robinson,Monkey Beach,F,9780676973228,1999,Canadian,"“Five hundred miles north of Vancouver is Kitamaat, an Indian reservation in the homeland of the Haisla people. Growing up a tough, wild tomboy, swimming, fighting, and fishing in a remote village where the land slips into the green ocean on the edge of the world, Lisamarie has always been different. Visited by ghosts and shapeshifters, tormented by premonitions, she can’t escape the sense that something terrible is waiting for her.”"
