isbn,title,authors,overview
9781402233845,...and A Hard Rain Fell: A Gi's True Story Of The War In Vietnam,['John Ketwig'],"""A magnetic, bloody, moving, and worm's-eye view of soldiering in Vietnam, an account that is from the first page to last a wound that can never heal. A searing gift to his country.""-Kirkus Reviews<br>
<br>
The classic Vietnam war memoir, ...and a hard rain fell is the unforgettable story of a veteran's rage and the unflinching portrait of a young soldier's odyssey from the roads of upstate New York to the jungles of Vietnam. Updated for its 20th anniversary with a new afterword on the Iraq War and its parallels to Vietnam, John Ketwig's message is as relevant today as it was twenty years ago.<br>
<br>
""Solidly effective. He describes with ingenuous energy and authentic language that time and place.""-Library Journal<br>
<br>
""Perhaps as evocative of that awful time in Vietnam as the great fictions...a wild surreal account, at its best as powerful as Celine's darkling writing of World War One.""-Washington Post"
9780446614832,3rd Degree (women's Murder Club),"['James Patterson', 'Andrew Gross']","""Detective Lindsay Boxer is jogging along a beautiful San Francisco street when a fiery explosion rips through the neighborhood. A town house owned by an Internet millionaire is immediately engulfed in flames, and when Lindsay plunges inside to search for survivors, she finds three people dead. An infant who lived in the house cannot be found - and a mysterious message at the scene leaves Lindsay and the San Francisco Police Department completely baffled."" ""Then a prominent businessman is found murdered under bizarre circumstances, with another mysterious message left behind by the killer. Lindsay asks her friends Claire Washburn of the medical examiner's office, Assistant D.A. Jill Bernhardt, and Chronicle reporter Cindy Thomas to help her figure out who is committing these murders - and why they are intent on killing someone every three days."" ""Even more terrifying, the killer has targeted one of the four friends who call themselves the Women's Murder Club. Which one will it be?"" While the investigation rages furiously, Lindsay works very closely with a federal officer assigned to the case. At the same time, she learns that one member of the Women's Murder Club is hiding a secret so dangerous and unbelievable that it could destroy them all."
9781440520174,"365 Ways To Live Green For Kids: Saving The Environment At Home, School, Or At Play--every Day!",['Sheri Amsel'],"""In the greenconscious world we live in today, parents realize the importance of teaching the lessons of green living, early on. With this book, parents can encourage their children to be ecologically friendly with fun lessons such as: <br>
<ul>
<li>The three Rs: reducing waste, reusing materials, and recycling</li>
<li>Why we should keep the air, oceans, and forests pollutionfree</li>
<li>Why organic food is tastier-and better-for you</li>
<li>How to protect plants and animals</li>
<li>Earth Day celebrations<br>
</li>
</ul>
<br>
Complete with tips for every day of the year-and activities for home, school, and during playtime-this book reveals how easy it is to be an ecofriendly family-and prepare for a better future together."""
9781402206511,1000 Best Quick And Easy Organizing Secrets,['Jamie Novak'],"""Reading this book is like getting advice from a trusted friend. Jamie's non-judgmental, conversational style put me at ease immediately. I felt like she had popped by and we had chatted over a cup of coffee. The last thing that someone who is dealing with clutter needs is more guilt! Jamie makes it seem manageable to conquer clutter.""<br>
 - Judith Leblein, Host of EBTV ""Conversations"" and WCTC 1450AM Radio Personality
<p>""The best part is you don't have to know anything to get started! Jamie covers everything from start to finish.""<br>
 - Ramona Creel, Owner of the award-winning www.OnlineOrganizing.com</p>
<p>""Chock-full of simple, easy-to-apply tips and ideas to help you get organized. This is a great organizing reference to read, refer to often, and enjoy!""<br>
 - Maria Gracia, Author of Finally Organized, Finally Free (www.GetOrganizedNow.com)</p>
<p>""At last - an organizing book that strives for progress instead of perfection. Jamie Novak's 1001 Best Organizing Secrets is real help for real people. Jamie understands that your house doesn't have to be perfect, you just need to be able to find your car keys.""<br>
 - Lisa Earle McLeod, Syndicated columnist and author of Forget Perfect (Penguin/Putnam)</p>"
9781402206511,1000 Best Quick And Easy Organizing Secrets,['Jamie Novak'],"""Reading this book is like getting advice from a trusted friend. Jamie's non-judgmental, conversational style put me at ease immediately. I felt like she had popped by and we had chatted over a cup of coffee. The last thing that someone who is dealing with clutter needs is more guilt! Jamie makes it seem manageable to conquer clutter.""<br>
 - Judith Leblein, Host of EBTV ""Conversations"" and WCTC 1450AM Radio Personality
<p>""The best part is you don't have to know anything to get started! Jamie covers everything from start to finish.""<br>
 - Ramona Creel, Owner of the award-winning www.OnlineOrganizing.com</p>
<p>""Chock-full of simple, easy-to-apply tips and ideas to help you get organized. This is a great organizing reference to read, refer to often, and enjoy!""<br>
 - Maria Gracia, Author of Finally Organized, Finally Free (www.GetOrganizedNow.com)</p>
<p>""At last - an organizing book that strives for progress instead of perfection. Jamie Novak's 1001 Best Organizing Secrets is real help for real people. Jamie understands that your house doesn't have to be perfect, you just need to be able to find your car keys.""<br>
 - Lisa Earle McLeod, Syndicated columnist and author of Forget Perfect (Penguin/Putnam)</p>"
9780425241219,R Is For Ricochet: A Kinsey Millhone Novel,['Sue Grafton'],"""Reba Lafferty was a daughter of privilege, the only child of an adoring father. Nord Lafferty was already in his fifties when Reba was born, and he could deny her nothing. Over the years, he quietly settled her many scrapes with the law, but he wasn't there for her when she was convicted of embezzlement and sent to the California Institution for Women. Now, at thirty-two, she is about to be paroled, having served twenty-two months of a four-year sentence. Nord Lafferty wants to be sure she stays straight, stays at home and away from the drugs, the booze, the gamblers."" ""It seems a straightforward assignment for Kinsey: babysit Reba until she settles in, make sure she follows all the rules of her parole. Maybe all of a week's work. Nothing untoward - the woman seems remorseful and friendly. And the money is good."" But life is never that simple, and Reba is out of prison less than twenty-four hours when one of her old crowd comes circling round."
9780425192726,"Q Is For Quarry (a Kinsey Millhone Mystery, Book 17)",['Sue Grafton'],"""She was a ""Jane Doe,"" an unidentified white female whose decomposed body was discovered near a quarry off California's Highway 1. The case fell to the Santa Teresa County Sheriff's Department, but the detectives had little to go on. The woman was young, her hands were bound with a length of wire, there were multiple stab wounds, and her throat had been slashed. After months of investigation, the case remained unsolved."" ""That was eighteen years go. Now, the two men who found the body, both nearing the end of long careers in law enforcement, want one last shot at the case. Old and ill, they need someone to do the legwork for them, and they turn to Kinsey Millhone. They will, they tell her, find closure if they can just identify the victim. Kinsey is intrigued with the challenge and agrees to work with them."" But revisiting the past can be a dangerous business, and what begins with the pursuit of Jane Doe's real identity ends in a high-risk hunt for her killer."
9780446612791,2nd Chance (women's Murder Club),['James Patterson'],"""The sensational killings that have rocked San Francisco appear to be unrelated except in their brutality. But detective Lindsay Boxer senses there's some thread connecting them all. She calls her friends in the Women's Murder Club together to see if they can discover what it is. Surely some clue has been overlooked by their bosses and male colleagues."" ""Working with Chronicle reporter Cindy Thomas, Assistant District Attorney Jill Bernhardt, and medical examiner Claire Washburn, Lindsay discovers that there is indeed a link. The victims were of different ages, lived in different locations, and were killed with different weapons. But each had a close relative in a particular profession, a profession that sends a chill through Lindsay's heart."" The partners in the Women's Murder Club realize that this killer is after something unspeakable, something deeper than revenge, and that the next target could be one of them. They deduce where the killer is likely to strike next and bait a trap that can't be resisted. But if their calculation is wrong, the consequences will be lethal. And there will be no second chance."
9780634047565,100 Christmas Carols,['Hal Leonard Corp.'],"(Piano/Vocal/Guitar Songbook). All the carols you love in one convenient collection! Includes: Angels We Have Heard on High <br>
• Away in a Manger <br>
• The Boar's Head Carol <br>
• Bring a Torch, Jeannette,, Isabella <br>
• Carol of the Birds <br>
• Christ Was Born on Christmas Day <br>
• Come, Thou Long-Expected Jesus <br>
• Coventry Carol <br>
• Deck the Hall <br>
• The First Noel <br>
• Go, Tell It on the Mountain <br>
• God Rest Ye Merry, Gentlemen <br>
• Good King Wenceslas <br>
• I Heard the Bells on Christmas Day <br>
• It Came upon the Midnight Clear <br>
• Joy to the World <br>
• O Come, All Ye Faithful (Adeste Fideles) <br>
• O Holy Night <br>
• Silent Night <br>
• Sing We Now of Christmas <br>
• Still, Still, Still <br>
• What Child Is This? <br>
• and more."
9780345546142,'til The End Of Time: A Loveswept Contemporary Classic Romance,['Iris Johansen'],"<b>#1 <i>New York Times</i> bestselling author Iris Johansen delivers the thrilling, sexy story of a tough-as-nails woman who must learn to trust the man who has sworn to protect her—and love her—at all costs.</b><br>
 <b><i>&nbsp;</i></b><br>
 As the rebel leader of the revolution in his beloved country of Tamrovia, Sandor Karpathan is prepared to do whatever it takes for his cause—including kidnapping Alessandra Ballard, a beautiful American woman who’s been targeted for murder. But Sandor soon discovers that protecting his hostage will be far more difficult than he imagined . . . especially when all he can think about is feeling Alessandra’s sinfully curvy body pressed against his.<br>
 &nbsp;<br>
 Forced to fend for herself from a young age, Alessandra can handle whatever comes her way. She doesn’t need to be protected by an arrogant revolutionary. Though Sandor gives her no other choice but to flee with him, Alessandra refuses to let him in even as he tries to save her life. Yet sharing such close quarters weakens her resolve against her irresistible captor. And when Sandor’s enemies catch up to them, their only hope of staying alive is for Alessandra to surrender her trust—and her heart.<br>
 &nbsp;<br>
 <b>Includes a special message from the editor, as well as excerpts from these Loveswept titles: <i>Trying to Score, Flirting with Disaster,</i> and <i>Long Simmering Spring</i>.</b>"
