title,authors,overview
Teaching At Home: A New Approach To Tutoring Children With Autism And Asperger Syndrome,['Olga Holland'],"""Faced with the apparent inability of her autistic son Billy to learn and socialize with other children at school, Olga Holland made the difficult decision to teach him at home. Where traditional educational approaches had produced limited results, the author's own method of teaching succeeded, over a period of two years, in enabling Billy to pass the ""Gifted and Talented Education"" test that allowed him to enter a class for gifted children."" ""Teaching at Home explains the author's approach to tutoring, focused on adapting to the demands of Billy's atypical mind and respecting his vivid imaginative world, while attracting and retaining his attention. The author describes her use of sensory and memory techniques, social stories and humor, and gives useful advice on issues such as understanding body language, adapting the teaching environment, devising homework schedules and coping with distractions."" Parents of children with autism or Asperger Syndrome who are considering homeschooling will find inspiration and encouragement in this account of Billy's impressive academic progress and development of social skills."
The Penelopiad (canongate Myths),['Margaret Atwood'],"""Homer's Odyssey is not the only version of the story. Mythic material was originally oral, and also local - a myth would be told one way in one place and quite differently in another. I have drawn on material other than the Odyssey, especially for the details of Penelope's parentage, her early life and marriage, and the scandalous rumors circulating about her. ""I've chosen to give the telling of the story to Penelope and to the twelve hanged maids. The maids form a chanting and singing Chorus which focuses on two questions that must pose themselves after any close reading of the Odyssey: What led to the hanging of the maids, and what was Penelope really up to? The story as told in the Odyssey doesn't hold water: there are too many inconsistencies. I've always been haunted by the hanged maids; and, in The Penelopiad, so is Penelope herself."" - From Margaret Atwood's foreword to The Penelopiad"
Castles Of God: Fortified Religious Buildings Of The World,['Peter Harrison'],"""Peter Harrison's purpose is to show how and why religious establishments incorporated military architecture. He considers this unstudied subject from a uniquely wide point of view, historical, military, and architectural. Every form of religious building that received fortifications is illustrated, from the humble parish churches of the Anglo-Scottish Borders to the Potala Palace of the Dalai Lama and the Vatican."" Particular features of this book are the author's photographs, taken in some of the wildest and most inaccessible parts of the world, and his own very detailed plans and illustrations of many of the buildings described."
This Book Will Get You Laid,['Emma Dickens'],"""This Book Will Get You Laid"" takes the age-old dance between men and women and strips it down to its bare essentials - how to catch the eye of your chosen victim, sorry, loved one; how to make initial contact (or 'Moving in for the Kill'); foolproof mechanisms for persuading them to come back to your place; and, once there, how to make all their clothes fall off as if by accident. The rest is up to you..."
Yoga For Children With Autism Spectrum Disorders: A Step-by-step Guide For Parents And Caregivers,"['Dion Betts', 'Stacey W. Betts']","""This illustrated book draws on the authors' understanding of Autism Spectrum Disorders (ASDs), and also their enthusiasm for yoga and the ways in which it can be used. It offers a range of gentle and fun yoga positions and breathing techniques that are effective in dealing with the increased levels of anxiety, disorientation and tactile sensitivity often found in children with ASDs. The authors give step-by-step descriptions of warming-up, strengthening, calming, and tension-releasing exercises that are suitable for reducing coping mechanisms, such as hand-flapping, and increasing muscle tone, muscle strength and body awareness. They also present a range of short and long sequences that can be tailored to meet the needs of the individual child."" Yoga for Children with Autism Spectrum Disorders is ideal for parents and caregivers who want to use simple yoga techniques to help children with ASDs overcome some of the symptoms of the disorder."
The Language of Fashion,"['Roland Barthes', 'Michael Carter', 'Andy Stafford']","<br>Roland Barthes, widely regarded as one of the most perceptive critics of the twentieth century, was particularly fascinated by fashion and clothing. This collection brings together all of Barthes' untranslated writings on fashion, revealing the breadth and insight of Barthes' long engagement with the history of clothes. The essays range from an analysis of the significance of gemstones and jewelry, to an exploration of CourrÃ¨ges and Chanel, to a discussion of of hippy style in Morocco, and the role of color in fashion.<br>"
Treasures Of China: The Glories Of The Kingdom Of The Dragon,['John Chinnery'],"<i>Treasures of China</i> presents a portrait of a country and civilization that has fascinated outsiders for millennia. From the mysterious Xia (ca. 2000bce) to the last imperial rulers, the Qing (1644–1912), the history of the greatest imperial power in East Asia unfolds in seven chapters illuminated by over 170 stunning photographs, from the Crucible of a Civilization through to Imperial Zenith and Decline. Each section balances informative background with illuminating commentary that explains not only the art forms (from the magnificent bronze-casting to sublime ceramics, exquisite jade carving to ornate laquerwork), but reveals the nature and significance of its rich symbolism. It makes for a fascinating account of imperial power, war and invasion, as well as a journey of discovery."
Gandhi: A Political Life,['Kathryn Tidrick'],"<p class=null1>A major reinterpretation of Gandhiâs life, politics, religion and nation</p><p>Throughout his long and turbulent career as an Indian leader, first in South Africa and then in India, Gandhi sought to fulfill his religious aspirations through politics, and to reconcile politics with his private religious discipline. The Gandhi revealed here is not the secular saint of popular renown, but a difficult and self-obsessed man driven by a sense of unique personal destiny.</p><p>Penetrating and provocative, Tidrick draws on material previously ignored by Gandhi's biographers and explores the paradoxes within his life and beliefs. Did the nationalist leader truly believe that he was not just fighting for Indian independence but also global enlightenment? Gandhi never admitted his early influences and experiences, but how important were the more esoteric ideas he first encountered in the West?</p>"
"10,000 Ways To Die: A Director's Take On The Spaghetti Western",['Alex Cox'],"<p>""40 years ago as a graduate student I wrote a book about Spaghetti Westerns, called <i>10,000 Ways to Die</i>. It’s an embarrassing tome when I look at it now: full of half-assed semiotics and other attenuated academic nonsense. In the intervening period I have had the interesting experience of being a film director. So now, when I watch these films, I’m looking at them from a different perspective. A professional perspective, maybe . . . I’m thinking about what the filmmakers intended, how they did that shot, how the director felt when his film was recut by the studio, and he was creatively and financially screwed. <i>10,000 Ways to Die</i> is an entirely new book about an under-studied subject, the Spaghetti Western, from a director’s POV. Not only have these films stood the test of time; some of them are very high art.""&nbsp; —<i>Alex Cox</i></p>"
Woman At Point Zero,['Nawal El Saadawi'],"<p>""All the men I did get to know, every single man of them, has filled me with but one desire: to lift my hand and bring it smashing down on his face. But because I am a woman I have never had the courage to lift my hand. And because I am a prostitute, I hid my fear under layers of make-up."" —Excerpt</p>
<p>This is a new edition of the best-selling novel with a specially commissioned new Foreword by Miriam Cooke.</p>


                        <p>""Saadawi writes with directness and passion, transforming the systematic brutalization of peasants and of women into powerful allegory.""--New York Times Book Review
</p>"
