isbn,title,authors,overview
9781780104089,,,
9781780104065,,,
9781780104058,,,
9781780104041,,,
9781780104034,,,
9781780104027,,,
9781780104003,,,
9781780103990,,,
9781780103983,,,
9781780103976,,,
9781780103952,,,
9781780103945,,,
9781780103938,Good Man Friday,['Barbara Hambly'],
9781780103907,,,
9781780103884,,,
9781780103877,,,
9781780103860,,,
9781780103853,,,
9781780103846,,,
9781780103839,,,
9781780103822,,,
9781780103815,,,
9781780103754,,,
9781780103747,,,
9781780103709,,,
9781780103693,,,
9781780103679,,,
9781780103655,,,
9781780103648,,,
9781780103631,,,
9781780103624,,,
9781780103617,,,
9781780103600,,,
9781780103587,,,
9781780103563,,,
9781780103556,,,
9781780103549,,,
9781780103532,,,
9781780103501,,,
9781780103471,,,
9781780103440,,,
9781780103426,,,
9781780103419,,,
9781780103402,,,
9781780103389,,,
9781780103365,,,
9781780103334,,,
9781780103327,,,
9781780103310,,,
9781780103303,,,
9781780103297,,,
9781780103280,,,
9781780103266,,,
9781780103211,,,
9781780103204,,,
9781780103181,,,
9781780103174,,,
9781780103143,Jigsaw,['Anthea Fraser'],"The return of Rona Parish - Rona Parish is ready to embark on a new assignment. She is to write a series of articles for the 600th anniversary of the local market town of Buckford, looking at its churches, schools and celebrated inhabitants. But her first encounter with the elderly Edna Rosebury raises unresolved questions about a recent tragic murder and Rona's investigative antennae are instantly on the alert . . ."
9781780103129,,,
9781780103112,,,
9781780103105,,,
9781780103099,,,
9781780103082,,,
9781780103075,,,
9781780103068,,,
9781780103044,,,
9781780103037,,,
9781780103020,,,
9781780103013,,,
9781780103006,,,
9781780102979,,,
9781780102962,,,
9781780102931,,,
9781780102924,,,
9781780102917,,,
9781780102900,,,
9781780102894,,,
9781780102887,,,
9781780102870,,,
9781780102856,,,
9781780102849,,,
9781780102825,,,
9781780102801,,,
9781780102788,,,
9781780102764,,,
9781780102757,,,
9781780102702,,,
9781780102696,,,
9781780102689,,,
9781780102627,,,
9781780102597,Shades Of Grey (dulcie Schwartz Series #1),['Clea Simon'],"A Dulcie Schwartz feline mystery series - Dulcie's having an awful summer. Her beloved cat Mr Grey's been put to sleep, and her new room-mate, Tim, is a jerk. Walking home, she sees a cat the spitting image of Mr Grey, and hears a voice say ""I wouldn't go in just now."" She enters to find Tim dead stabbed with her own knife. Dulcie's in the frame for murder and she hasn't seen the last of Mr Grey, either . . ."
