isbn,title,authors,overview
9781681773452,,,
9781681773438,Resurrecting The Shark: A Scientific Obsession And The Mavericks Who Solved The Mystery Of A 270-million-year-old Fossil,['Susan Ewing'],
9781681773421,City Of Masks,"['Sykes, S. D. (author.)']",
9781681773407,Mister Memory: A Novel,['Marcus Sedgwick'],
9781681773384,"Mr. Darley's Arabian: high life, low life, sporting life : a history of racing in 25 horses","['Mcgrath, Christopher (author.)']",
9781681773377,The Devil's Bible: A Novel,"['Carpenter, Dana Chamblee (author.)']",
9781681773353,Rosalind: A Biography Of Shakespeare's Immortal Heroine,['Angela Thirlwell'],
9781681773339,The Lovecraft Squad: All Hallows Horror: A Novel,['John Llewellyn Probert'],
9781681773322,The Wages Of Sin,"['Welsh, Kaite (author.)']",
9781681773308,"Mask of the Sun: The Science, History and Forgotten Lore of Eclipses","['Dvorak', 'John']",
9781681773285,Someone to watch over me: a portrait of Eleanor Roosevelt and the tortured father who shaped her life,"['Burns, Eric (author.)']",
9781681773278,The Nightwalker: A Novel,['Sebastian Fitzek'],
9781681773254,"The Memory Code: The Secrets Of Stonehenge, Easter Island And Other Ancient Monuments","['Kelly, Lynne , 1951- (author.)']",
9781681773230,The Icon Hunter: A Refugee's Quest To Reclaim Her Nation's Stolen Heritage,"['Hadjitofi, Tasoula , 1959- (author.)']",
9781681773216,Black Feathers: Dark Avian Tales: An Anthology,"['Datlow', 'Ellen']",
9781681773193,Blood And Fears: How America's Bomber Boys Of The 8th Air Force Saved World War Ii,['Kevin Wilson'],
9781681773186,,,
9781681773162,Darwin's First Theory: Exploring Darwin's Quest To Find A Theory Of The Earth,"['Wesson, R. L. (robert L.) (author.)']",
9781681773148,Winterlong: A Carter Blake Thriller (carter Blake),['Mason Cross'],
9781681773124,"The Evolution Underground: Burrows, Bunkers, And The Marvelous Subterranean World Beneath Our Feet","['Martin, Anthony J. , 1960- (author.)']",
9781681773117,,,
9781681773070,,,
9781681773063,Battle Royal: The Wars Of The Roses: 1440-1462,['Hugh Bicheno'],
9781681773049,,,
9781681773025,The secret state: a history of intelligence and espionage,"['Hughes-wilson, John (author.)']",
9781681773018,,,
9781681772998,The Cyclist Who Went Out In The Cold: Adventures Riding The Iron Curtain,"['Moore, Tim , 1964- (author.)']",
9781681772974,The Red Sphinx: A Sequel To The Three Musketeers,['Alexandre Dumas'],
9781681772967,,,
9781681772844,,,
9781681772806,,,
9781681772790,,,
9781681772721,,,
9781681772691,,,
9781681772684,,,
9781681772660,,,
9781681772653,,,
9781681772615,,,
9781681772608,"The Globe guide to Shakespeare: the plays, the productions, the life","['Dickson, Andrew , 1979- (author.)']",
9781681772592,A Want Of Kindness: A Novel,"['Limburg', 'Joanne']",
9781681772561,Plaid And Plagiarism,"['Macrae, Molly (author.)']",
9781681772547,The king is dead: the last will and testament of Henry VIII,"['Lipscomb, Suzannah (author.)']",
9781681772523,The Boy Who Escaped Paradise: A Novel,"['Yi, Chŏng-myŏng (author.)']",
9781681772509,The French Revolution: From Enlightenment To Tyranny,,
9781681772493,,,
9781681772479,Hemingway At War: Ernest Hemingway's Adventures As A World War Ii Correspondent,['Terry Mort'],
9781681772462,Perfume: A Century Of Scents,"['Ostrom, Lizzie']",
9781681772455,In Sunlight Or In Shadow: Stories Inspired By The Paintings Of Edward Hopper,['Lawrence Block'],
9781681772448,Crown Of Blood: The Deadly Inheritance Of Lady Jane Grey,['Nicola Tallis'],
9781681772431,Millennium: From Religion To Revolution: How Civilization Has Changed Over A Thousand Years,['Ian Mortimer'],
9781681772417,"In The Shadow Of Edgar Allan Poe : Classic Tales Of Horror, 1816-1914",['Leslie S. Klinger'],
9781681772400,The Thieves Of Threadneedle Street: The Incredible True Story Of The American Forgers Who Nearly Broke The Bank Of England,['Nicholas Booth'],
9781681772394,A Space Traveler's Guide To The Solar System,['Mark Thompson'],
9781681772387,Accidentally In Love,"['Woodman, Cathy (author.)']",
9781681772363,Culloden: Scotland's Last Battle And The Forging Of The British Empire,"['Royle, Trevor (author.)']",
9781681772349,The Secret Life Of Souls,"['Ketchum, Jack , 1946-2018 (author.)']",
9781681772332,Storm Cell: A Lewis Cole Mystery (lewis Cole Mysteries),['Brendan Dubois'],
9781681772295,The Abandoned Heart: A Bliss House Novel,"['Benedict', 'Laura']",
9781681772257,Echoes Of Sherlock Holmes: Stories Inspired By The Holmes Canon,"['King', 'Laurie R.', 'Klinger', 'Leslie S.']",
9781681772202,Edgar Allan Poe And The London Monster: A Novel,['Karen Lee Street'],
9781681772189,In The Land Of Giants: A Journey Through The Dark Ages,"['Adams, Max , 1961- (author.)']",
9781681772141,Beloved Poison,"['Thomson, E. S. (author.)']",
9781681772127,Einstein's Masterwork: 1915 And The General Theory Of Relativity,['John Gribbin'],
9781681772103,Sherlock: The Essential Arthur Conan Doyle Adventures,"['Arthur Conan Doyle', 'Mark Gatiss', 'Steven Moffat']",
9781681772080,The Reckoning On Cane Hill: A Novel,['Steve Mosby'],
9781681772059,1956: The World In Revolt,['Simon Hall'],
9781681772042,The lost boy: a novel,"['Läckberg, Camilla , 1974- (author.)']",
9781681772011,,,
9781681772004,,,
9781681771953,,,
9781681771939,,,
9781681771885,,,
9781681771694,Muhammad Ali: A Tribute To The Greatest,['Thomas Hauser'],
9781681771687,The King's Revenge: Charles Ii And The Greatest Manhunt In British History,"['Jordan', 'Don', 'Walsh', 'Michael']",
9781681771670,The Kamikaze Hunters: Fighting For The Pacific: 1945,['Will Iredale'],
9781681771663,Wild Sex: The Science Behind Mating In The Animal Kingdom,['Carin Bondar Ph. D.'],
9781681771656,The Night Bell: A Novel (a Detective Hazel Micallef Mystery),['Inger Ash Wolfe'],
9781681771649,The Hanged Man: A Mystery In Fin De Siecle Paris,['Gary Inbinder'],
9781681771632,Tastes Like Chicken: A History Of America's Favorite Bird,['Emelyn Rude'],
9781681771588,Marked For Death: The First War In The Air,"['Hamilton-paterson, James (author.)']",
9781681771564,The Senility Of Vladimir P.: A Novel,['Michael Honig'],
9781681771557,Ithaca: A Novel Of Homer's Odyssey,['Patrick Dillon'],
9781681771540,"Cyberspies: The Secret History Of Surveillance, Hacking, And Digital Espionage",['Gordon Corera'],
9781681771533,"The unknown universe: a new exploration of time, space, and cosmology","['Clark, Stuart (stuart G.) (author.)']",
9781681771526,The Book Of Spice: From Anise To Zedoary,"[""John O'connell""]",
9781681771519,The Classical World: The Foundations Of The West And The Enduring Legacy Of Antiquity,"['Spivey, Nigel Jonathan (author.)']",
9781681771496,The Wages Of Desire: A World War Ii Mystery (inspector Lamb),['Stephen Kelly'],
9781681771472,Accidence Will Happen: A Recovering Pedant's Guide To English Language And Style,['Oliver Kamm'],
9781681771465,Sixty degrees north: around the world in search of home,"['Tallack, Malachy (author.)']",
9781681771441,The Audacious Crimes Of Colonel Blood: The Spy Who Stole The Crown Jewels And Became The King's Secret Agent,['Robert Hutchinson'],
9781681771403,"The Dog Merchants: Inside The Big Business Of Breeders, Pet Stores, And Rescuers",['Kim Kavin'],
9781681771397,,,
9781681771380,The Edge Of The Fall: A Novel (the Storms Of War),['Kate Williams'],
9781681771359,The Stranger: The Graphic Novel,['Albert Camus'],
9781681771342,The Story Of Egypt: The Civilization That Shaped The World,['Joann Fletcher'],
9781681771328,The Strings Of Murder: A Novel (a Frey & Mcgray Mystery),['Oscar De Muriel'],
9781681771304,So close to home: a true story of an American family's fight for survival during World War II,"['Tougias, Mike , 1955- (author.)']",
9781681771298,The Edge Of The Empire: A Journey To Britannia: From The Heart Of Rome To Hadrian's Wall,['Bronwen Riley'],
9781681771274,The Service Of The Dead: A Novel (kate Clifford Mystery),['Candace Robb'],
9781681771267,Left In The Wind: A Novel Of The Lost Colony: The Roanoke Journal Of Emme Merrimoth,['Ed Gray'],
9781681771250,"My Life With Wagner : Fairies, Rings, And Redemption: Exploring Opera's Most Enigmatic Composer",['Christian Thielemann'],
9781681771236,The Painter Of Souls,"['Kazan, Philip (author.)']",
9781681771212,The Way Of The Runner: A Journey Into The Fabled World Of Japanese Running,['Adharanand Finn'],
9781681771151,A Murder In Time: A Novel (kendra Donovan Mysteries),['Julie McElwain'],
9781681771144,,,
9781681771120,,,
9781681771076,,,
9781681689999,,,
9781681689555,,,
9781681689173,,,
9781681688343,,,
9781681687377,,,
9781681686967,,,
9781681686325,,,
9781681685243,When The English Fall: A Novel,"['Williams', 'David']",
9781681685113,,,
9781681685090,,,
9781681685083,The Leavers (cd),"['Ko', 'Lisa']",
9781681684543,,,
9781681684352,The Not-quite States Of America: Dispatches From The Territories And Other Far-flung Outposts Of The Usa (cd),"['Mack', 'Doug']",
9781681684222,,,
9781681684215,The Radium Girls: The Dark Story Of Americai's Shining Women (cd),"['Moore', 'Kate']",
9781681684147,,,
9781681684031,The Totally Unscientific Study Of The Search For Human Happiness,"['Poundstone', 'Paula']",
9781681683812,Huck Out West: A Novel,['Robert Coover'],
9781681683751,Small Admissions: A Novel,"['Poeppel', 'Amy']",
9781681683379,,,
9781681683270,,,
9781681682730,,,
9781681682709,Here Comes The Sun (cd),"['Dennis-benn', 'Nicole']",
9781681682648,"Sorry Not Sorry: Dreams, Mistakes, And Growing Up (cd)","['Rivera', 'Naya']",
9781681682440,The Fall Guy: A Novel,"['Lasdun', 'James']",
9781681682297,We Are All Made Of Stars (compact Disc),['Rowan Coleman'],
9781681682280,,,
9781681682228,North By Northwest: Paula Poundstone Live!,,
9781681682174,,,
9781681682044,The Second Mrs. Hockaday (cd),"['Rivers', 'Susan']",
9781681682020,The Peculiar Miracles Of Antoinette Martin,"['Knipper', 'Stephanie']",
9781681682006,Cruel Beautiful World (cd),"['Leavitt', 'Caroline']",
9781681681948,"Real Food, Fake Food: Why You Don't Know What You're Eating And What You Can Do About It (cd)","['Olmsted', 'Larry']",
9781681681436,,,
9781681681429,The Bad-ass Librarians Of Timbuktu: And Their Race To Save The Worlds Most Precious Manuscripts,['Joshua Hammer'],
9781681681405,,,
9781681681290,,,
9781681680644,"Love That Boy: What Two Presidents, Eight Road Trips, And My Son Taught Me About A Parents Expectations","['Fournier', 'Ron']",
9781681680224,Forty Thieves,['Thomas Perry'],
9781681680057,,,
9781681629810,,,
9781681629193,"More Anti-inflammation Diet Tips And Recipes: Protect Yourself From Heart Disease, Arthritis, Diabetes, Allergies, Fatigue And Pain (spiral Bound, Comb Or Coil)","['Black', 'Jessica K.']",
9781681627496,Macular Degeneration: A Complete Guide For Patients And Their Families (hardback Or Cased Book),"['Samuel', 'Michael A.']",
9781681626666,Knottspeed: A Love Story,['Jeff Johnson'],
9781681626529,The Sexless Marriage Fix: Rescuing A Sexless Marriage And Making It All It Can Be Using This Empowering Integrative Approach,"['Fleisher Dmd', 'Robert M']",
